lat,long,type
42.34638135,-71.10379454,RESIDENTIAL BURGLARY
42.34284135,-71.09698955,ROBBERY
42.3164411,-71.06582908,COMMERCIAL BURGLARY
42.27051636,-71.11989955,ROBBERY
42.31328183,-71.0530059,ROBBERY
42.32425136,-71.08620956,ROBBERY
42.3092417,-71.05033304,VAL
42.36179134,-71.05277456,VAL
42.31757135,-71.07794956,VAL
42.2751208,-71.11599434,VAL
42.28813781,-71.0948495,RESIDENTIAL BURGLARY
42.30147136,-71.07512956,VAL
42.30342636,-71.06674457,VAL
42.26728137,-71.11588955,VAL
42.33217135,-71.04223957,AUTO THEFT
42.36568154,-71.05290553,VAL
42.31371136,-71.05572957,VANDALISM
42.32543556,-71.06387302,CRIMES AGAINST CHILDREN
42.29751636,-71.06447956,LARCENY FROM MOTOR VEHICLE
42.35693634,-71.06249456,LARCENY FROM MOTOR VEHICLE
42.30011498,-71.07108061,VANDALISM
42.32623635,-71.10315955,LARCENY FROM MOTOR VEHICLE
42.38054134,-71.03925957,LARCENY FROM MOTOR VEHICLE
42.26320137,-71.16580953,LARCENY FROM MOTOR VEHICLE
42.30746136,-71.07596956,LARCENY FROM MOTOR VEHICLE
42.35274635,-71.08240456,VANDALISM
42.35725634,-71.05631456,LARCENY FROM MOTOR VEHICLE
42.35631634,-71.05431456,LARCENY FROM MOTOR VEHICLE
42.28245637,-71.06981457,ROBBERY
42.35631634,-71.05431456,LARCENY FROM MOTOR VEHICLE
42.34805135,-71.08813956,LARCENY FROM MOTOR VEHICLE
42.33326635,-71.08299956,ROBBERY
42.35485134,-71.05367956,LARCENY FROM MOTOR VEHICLE
42.35876135,-71.05157957,LARCENY FROM MOTOR VEHICLE
42.35274635,-71.08240456,VANDALISM
42.32422656,-71.07757817,VANDALISM
42.34653635,-71.13511954,LARCENY FROM MOTOR VEHICLE
42.28391136,-71.11729954,AUTO THEFT
42.35823135,-71.14064953,AUTO THEFT
42.35129635,-71.08780955,VANDALISM
42.27459636,-71.14841453,LARCENY FROM MOTOR VEHICLE
42.28385447,-71.12338411,LARCENY FROM MOTOR VEHICLE
42.35773634,-71.05462456,VAL
42.26850953,-71.12883588,RESIDENTIAL BURGLARY
42.33512635,-71.03993457,VANDALISM
42.3286598,-71.08561842,VAL
42.31335135,-71.08361455,ROBBERY
42.34803635,-71.09419955,LARCENY FROM MOTOR VEHICLE
42.35801134,-71.06055956,LARCENY FROM MOTOR VEHICLE
42.28903136,-71.07658455,VANDALISM
42.37846134,-71.05307957,VANDALISM
42.31991504,-71.06370653,VAL
42.32422656,-71.07757817,AUTO THEFT
42.30607288,-71.08626837,VAL
42.37468775,-71.03891217,LARCENY FROM MOTOR VEHICLE
42.27590186,-71.09503423,AUTO THEFT
42.26474137,-71.15819954,LARCENY FROM MOTOR VEHICLE
42.28758136,-71.07167456,VANDALISM
42.33367135,-71.09315455,VANDALISM
42.28974136,-71.07689956,VANDALISM
42.35055135,-71.06148957,LARCENY FROM MOTOR VEHICLE
42.30627136,-71.11505955,VANDALISM
42.25678059,-71.12916296,RESIDENTIAL BURGLARY
42.35184134,-71.05719456,LARCENY FROM MOTOR VEHICLE
42.28774136,-71.10679955,VAL
42.33215635,-71.07041456,VAL
42.27559322,-71.10032375,VANDALISM
42.35274635,-71.08240456,VANDALISM
42.34111635,-71.07693456,RESIDENTIAL BURGLARY
42.34111635,-71.07693456,RESIDENTIAL BURGLARY
42.31135135,-71.05460457,RESIDENTIAL BURGLARY
42.34870428,-71.06270542,VANDALISM
42.39132134,-71.01292957,VAL
42.34075719,-71.03555916,VANDALISM
42.34898135,-71.15091453,VAL
42.30524136,-71.08473956,VAL
42.34445634,-71.06560956,ROBBERY
42.29476483,-71.08204862,LARCENY FROM MOTOR VEHICLE
42.24810096,-71.13259159,AUTO THEFT
42.35061784,-71.12851965,ROBBERY
42.28688136,-71.12869955,VAL
42.30713635,-71.10678455,VAL
42.35047863,-71.13290212,ROBBERY
42.33560574,-71.03656954,LARCENY FROM MOTOR VEHICLE
42.27998137,-71.11901955,VAL
42.32543556,-71.06387302,LARCENY FROM MOTOR VEHICLE
42.31435135,-71.11409454,VAL
42.33699135,-71.10929955,VAL
42.25332425,-71.12466158,ROBBERY
42.32723569,-71.08059616,LARCENY FROM MOTOR VEHICLE
42.29041636,-71.07270956,ROBBERY
42.32978135,-71.07442956,LARCENY FROM MOTOR VEHICLE
42.3480306,-71.13543899,VANDALISM
42.27931764,-71.12993814,RESIDENTIAL BURGLARY
42.33218135,-71.05346456,COMMERCIAL BURGLARY
42.32779635,-71.05437456,AUTO THEFT
42.34238635,-71.07948956,LARCENY FROM MOTOR VEHICLE
42.26795957,-71.09472696,VANDALISM
42.32858135,-71.05497456,LARCENY FROM MOTOR VEHICLE
42.29173624,-71.11528811,RESIDENTIAL BURGLARY
42.3257856,-71.08563716,VAL
42.31494635,-71.05991956,VANDALISM
42.37750134,-71.03812957,LARCENY FROM MOTOR VEHICLE
42.29740215,-71.08525677,VANDALISM
42.27377636,-71.09348455,COMMERCIAL BURGLARY
42.27970636,-71.11834954,COMMERCIAL BURGLARY
42.26877137,-71.11409455,VAL
42.34874135,-71.08564956,VANDALISM
42.28837819,-71.08614367,AUTO THEFT
42.24662137,-71.11893955,ROBBERY
42.30967409,-71.06008082,VANDALISM
42.33763635,-71.07590956,LARCENY FROM MOTOR VEHICLE
42.30524136,-71.08473956,AUTO THEFT
42.35404135,-71.14785953,VANDALISM
42.28877455,-71.08353344,VANDALISM
42.25862165,-71.12519913,RESIDENTIAL BURGLARY
42.32731635,-71.06731956,LARCENY FROM MOTOR VEHICLE
42.35540635,-71.13302454,VAL
42.27893136,-71.05418957,VAL
42.31650785,-71.0828707,VAL
42.36396134,-71.05597956,RESIDENTIAL BURGLARY
42.33888135,-71.08112956,VAL
42.38378718,-71.00259354,VANDALISM
42.32937538,-71.08474665,COMMERCIAL BURGLARY
42.26834713,-71.12790504,LARCENY FROM MOTOR VEHICLE
42.32898611,-71.08806258,VAL
42.37619134,-71.03980956,ROBBERY
42.38198635,-71.03770957,VAL
42.32657135,-71.05252956,VANDALISM
42.31475136,-71.08353956,VAL
42.35312135,-71.12820454,LARCENY FROM MOTOR VEHICLE
42.35216476,-71.05571983,VANDALISM
42.32501543,-71.05924631,VANDALISM
42.34058135,-71.08173956,VANDALISM
42.32749583,-71.05531204,LARCENY FROM MOTOR VEHICLE
42.34505135,-71.14232954,ROBBERY
42.31786135,-71.08490955,VANDALISM
42.36765134,-71.03710456,VAL
42.32062135,-71.07503956,AUTO THEFT
42.31922053,-71.11042293,VANDALISM
42.26772046,-71.1270953,LARCENY FROM MOTOR VEHICLE
42.39329401,-71.0086428,LARCENY FROM MOTOR VEHICLE
42.34915614,-71.09337455,VANDALISM
42.34809134,-71.06420956,RESIDENTIAL BURGLARY
42.28242942,-71.09448186,COMMERCIAL BURGLARY
42.26855843,-71.12593871,LARCENY FROM MOTOR VEHICLE
42.25735137,-71.15615954,VAL
42.28928136,-71.07583456,RESIDENTIAL BURGLARY
42.28752636,-71.09027455,VAL
42.34208023,-71.15417638,VAL
42.23779137,-71.13158955,AUTO THEFT
42.36218134,-71.06223957,LARCENY FROM MOTOR VEHICLE
42.34938895,-71.14242987,VAL
42.33650635,-71.03441457,VANDALISM
42.36238134,-71.05226956,VAL
42.30972244,-71.10427304,AUTO THEFT
42.32220635,-71.08208955,VAL
42.35548239,-71.13729626,VANDALISM
42.28054137,-71.08800956,VAL
42.33117135,-71.07701956,VAL
42.37904134,-71.06260956,VAL
42.28403136,-71.12686454,LARCENY FROM MOTOR VEHICLE
42.33616959,-71.15047762,VANDALISM
42.31934635,-71.11176955,VAL
42.32215135,-71.09849955,VAL
42.27080515,-71.09260083,RESIDENTIAL BURGLARY
42.28405295,-71.11241077,ROBBERY
42.34085635,-71.08781455,VAL
42.23958637,-71.13990954,LARCENY FROM MOTOR VEHICLE
42.25792636,-71.15628953,VANDALISM
42.33954135,-71.05201456,AUTO THEFT
42.30993135,-71.08143955,AUTO THEFT
42.30927135,-71.07350956,VAL
42.35779634,-71.05416456,LARCENY FROM MOTOR VEHICLE
42.32595135,-71.08329956,VAL
42.33231135,-71.07127456,VAL
42.32423635,-71.09035955,LARCENY FROM MOTOR VEHICLE
42.30065635,-71.08325955,RESIDENTIAL BURGLARY
42.37549635,-71.03727458,VAL
42.26629358,-71.12464643,LARCENY FROM MOTOR VEHICLE
42.3253658,-71.10662242,LARCENY FROM MOTOR VEHICLE
42.25549136,-71.12617954,RESIDENTIAL BURGLARY
42.25629137,-71.12721453,RESIDENTIAL BURGLARY
42.31562668,-71.09825321,COMMERCIAL BURGLARY
42.27622636,-71.13938954,VAL
42.2846063,-71.15985461,LARCENY FROM MOTOR VEHICLE
42.34397135,-71.09635955,AUTO THEFT
42.35135635,-71.07949456,VANDALISM
42.30511635,-71.08019456,VAL
42.38665134,-71.00672958,VAL
42.32612007,-71.05350618,VANDALISM
42.34215135,-71.08407956,LARCENY FROM MOTOR VEHICLE
42.38660133,-71.00658958,VAL
42.34553135,-71.08777955,LARCENY FROM MOTOR VEHICLE
42.28187037,-71.0855491,VAL
42.34302135,-71.06493956,VANDALISM
42.31169612,-71.08421019,VANDALISM
42.35002135,-71.13200454,VANDALISM
42.27622636,-71.13938954,LARCENY FROM MOTOR VEHICLE
42.34258135,-71.07418456,LARCENY FROM MOTOR VEHICLE
42.29707509,-71.09096727,VAL
42.37619134,-71.03980956,LARCENY FROM MOTOR VEHICLE
42.3298129,-71.0925768,AUTO THEFT
42.35810135,-71.12757454,AUTO THEFT
42.29653136,-71.07477956,ROBBERY
42.26629358,-71.12464643,LARCENY FROM MOTOR VEHICLE
42.32164635,-71.09464955,VAL
42.29357136,-71.05508957,STOLEN PROPERTY CHARGES
42.26564137,-71.15241954,VAL
42.34242635,-71.08445955,VANDALISM
42.27621136,-71.14656954,AUTO THEFT
42.35490135,-71.13419954,ROBBERY
42.2846063,-71.15985461,STOLEN PROPERTY CHARGES
42.30336136,-71.07139956,VAL
42.29123636,-71.07474956,VANDALISM
42.37625134,-71.03443958,VANDALISM
42.29144136,-71.11787454,COMMERCIAL BURGLARY
42.31709635,-71.07803456,LARCENY FROM MOTOR VEHICLE
42.26106588,-71.11936774,LARCENY FROM MOTOR VEHICLE
42.29446666,-71.0642023,RESIDENTIAL BURGLARY
42.30326635,-71.06364956,RESIDENTIAL BURGLARY
42.33679635,-71.05449956,VANDALISM
42.28793136,-71.16574953,LARCENY FROM MOTOR VEHICLE
42.35158421,-71.12864024,RESIDENTIAL BURGLARY
42.37207134,-71.03918957,VAL
42.26889638,-71.10810451,VAL
42.29348053,-71.07346187,LARCENY FROM MOTOR VEHICLE
42.35909135,-71.12323954,VAL
42.32888135,-71.08506956,VAL
42.38857295,-71.008632,LARCENY FROM MOTOR VEHICLE
42.34027635,-71.05455456,VAL
42.30342636,-71.06674457,VANDALISM
42.31813635,-71.06763956,CRIMES AGAINST CHILDREN
42.38262134,-71.03930957,VAL
42.28962136,-71.06320456,VANDALISM
42.31082136,-71.08155956,VAL
42.32926135,-71.06063957,VAL
42.30468635,-71.05908456,VAL
42.29311885,-71.15388456,VAL
42.36125134,-71.06088957,AUTO THEFT
42.37392634,-71.05176956,LARCENY FROM MOTOR VEHICLE
42.32918135,-71.08148956,VAL
42.35173635,-71.12175454,VANDALISM
42.29285636,-71.16683453,RESIDENTIAL BURGLARY
42.32973635,-71.08325955,ROBBERY
42.35454635,-71.14280453,VAL
42.31332136,-71.10417955,LARCENY FROM MOTOR VEHICLE
42.32044752,-71.06165751,VAL
42.34593635,-71.07166956,LARCENY FROM MOTOR VEHICLE
42.2803316,-71.09707908,VANDALISM
42.28563636,-71.04532957,VANDALISM
42.29657342,-71.07331377,VANDALISM
42.28667137,-71.13120955,VAL
42.32595135,-71.08344956,VAL
42.34231135,-71.07023956,AUTO THEFT
42.26627449,-71.10710387,VANDALISM
42.308074,-71.10254619,VANDALISM
42.31430635,-71.08855955,VAL
42.32888135,-71.08506956,VAL
42.32532137,-71.1007688,LARCENY FROM MOTOR VEHICLE
42.35084135,-71.07771956,LARCENY FROM MOTOR VEHICLE
42.32522135,-71.10861454,VANDALISM
42.38166634,-71.04034456,VANDALISM
42.28867638,-71.06129458,VAL
42.32048279,-71.12190892,AUTO THEFT
42.35114135,-71.07665956,LARCENY FROM MOTOR VEHICLE
42.30750136,-71.08904956,VAL
42.32512992,-71.07671944,VANDALISM
42.29205636,-71.06148457,VAL
42.32787135,-71.05306457,LARCENY FROM MOTOR VEHICLE
42.28688092,-71.09218579,VANDALISM
42.34788635,-71.15558453,VAL
42.29167636,-71.08907956,VAL
42.28984136,-71.07649456,VANDALISM
42.37825134,-71.05775956,CRIMES AGAINST CHILDREN
42.23353637,-71.12915455,LARCENY FROM MOTOR VEHICLE
42.23380137,-71.13013455,LARCENY FROM MOTOR VEHICLE
42.25292494,-71.11866197,ROBBERY
42.31315635,-71.07553456,RESIDENTIAL BURGLARY
42.32178635,-71.08534456,RESIDENTIAL BURGLARY
42.35216634,-71.06737456,VANDALISM
42.31263135,-71.11410955,COMMERCIAL BURGLARY
42.28242942,-71.09448186,COMMERCIAL BURGLARY
42.33286635,-71.04414457,VAL
42.32177134,-71.11597463,LARCENY FROM MOTOR VEHICLE
42.31369635,-71.06207456,VAL
42.30745053,-71.1163492,RESIDENTIAL BURGLARY
42.2901966,-71.08802624,VANDALISM
42.2762352,-71.16644825,RESIDENTIAL BURGLARY
42.23236137,-71.12969454,LARCENY FROM MOTOR VEHICLE
42.23236137,-71.12969454,LARCENY FROM MOTOR VEHICLE
42.23236137,-71.12969454,LARCENY FROM MOTOR VEHICLE
42.23236137,-71.12969454,LARCENY FROM MOTOR VEHICLE
42.27846136,-71.15121954,VAL
42.34470431,-71.02941573,LARCENY FROM MOTOR VEHICLE
42.25629373,-71.11952661,VAL
42.35207505,-71.13529658,RESIDENTIAL BURGLARY
42.31596163,-71.07381757,RESIDENTIAL BURGLARY
42.31851135,-71.09665956,VAL
42.32128572,-71.0669224,VANDALISM
42.38021466,-71.03493203,VAL
42.29892545,-71.07692328,VANDALISM
42.27693136,-71.16506953,VANDALISM
42.37928134,-71.06108956,COMMERCIAL BURGLARY
42.35087634,-71.07534456,VAL
42.33758135,-71.09943955,RESIDENTIAL BURGLARY
42.31556136,-71.08898956,VAL
42.33614915,-71.0467171,ROBBERY
42.2544136,-71.12237796,VANDALISM
42.33758135,-71.07334956,VAL
42.28328415,-71.08824102,LARCENY FROM MOTOR VEHICLE
42.33259272,-71.10547005,VANDALISM
42.3507348,-71.15609534,VANDALISM
42.34543135,-71.08675956,LARCENY FROM MOTOR VEHICLE
42.28140137,-71.13354954,VAL
42.27302871,-71.06981192,RESIDENTIAL BURGLARY
42.30641135,-71.11879954,RESIDENTIAL BURGLARY
42.35590635,-71.07056456,LARCENY FROM MOTOR VEHICLE
42.32030635,-71.06196456,VAL
42.34470431,-71.02941573,LARCENY FROM MOTOR VEHICLE
42.35048135,-71.13105954,VANDALISM
42.35316135,-71.07399956,LARCENY FROM MOTOR VEHICLE
42.27964522,-71.08370574,VAL
42.37155634,-71.03899457,VANDALISM
42.34149572,-71.14967662,VANDALISM
42.3453122,-71.14293624,VANDALISM
42.29576135,-71.05582456,RESIDENTIAL BURGLARY
42.28040136,-71.08247956,AUTO THEFT
42.27457836,-71.08001927,RESIDENTIAL BURGLARY
42.33043607,-71.08369937,STOLEN PROPERTY CHARGES
42.28731636,-71.15054453,VANDALISM
42.25536636,-71.12701954,RESIDENTIAL BURGLARY
42.29552635,-71.06154956,VAL
42.36354634,-71.05453956,VAL
42.37886634,-71.03855457,VANDALISM
42.34461634,-71.08636455,VANDALISM
42.34615872,-71.07924793,RESIDENTIAL BURGLARY
42.34913135,-71.08769455,LARCENY FROM MOTOR VEHICLE
42.32177134,-71.11597463,LARCENY FROM MOTOR VEHICLE
42.35226635,-71.07250956,LARCENY FROM MOTOR VEHICLE
42.37622134,-71.06914455,VAL
42.26326137,-71.12563955,VAL
42.29892545,-71.07692328,VANDALISM
42.31752135,-71.08798955,LARCENY FROM MOTOR VEHICLE
42.34434135,-71.08807955,LARCENY FROM MOTOR VEHICLE
42.28123636,-71.07110456,VAL
42.27369136,-71.08924956,RESIDENTIAL BURGLARY
42.34806406,-71.08968949,VAL
42.31804635,-71.07787456,VANDALISM
42.33920635,-71.07202956,RESIDENTIAL BURGLARY
42.25619136,-71.11760954,VANDALISM
42.27682636,-71.09357955,COMMERCIAL BURGLARY
42.37997634,-71.02943457,VANDALISM
42.29688832,-71.1156682,LARCENY FROM MOTOR VEHICLE
42.29510635,-71.07822456,VAL
42.32429532,-71.07035649,STOLEN PROPERTY CHARGES
42.35048717,-71.17153951,AUTO THEFT
42.29044636,-71.12383954,VANDALISM
42.37702134,-71.05098957,LARCENY FROM MOTOR VEHICLE
42.32721054,-71.10804509,VANDALISM
42.31079135,-71.07815956,LARCENY FROM MOTOR VEHICLE
42.32242809,-71.10986714,VANDALISM
42.35661135,-71.07166956,LARCENY FROM MOTOR VEHICLE
42.35794766,-71.05081372,ROBBERY
42.33954135,-71.05201456,VAL
42.26300154,-71.14951868,LARCENY FROM MOTOR VEHICLE
42.38791359,-71.01694513,VAL
42.28069131,-71.09622017,LARCENY FROM MOTOR VEHICLE
42.34737676,-71.13530302,VANDALISM
42.33841135,-71.05127957,VAL
42.27618557,-71.13790262,VANDALISM
42.29908139,-71.0683246,AUTO THEFT
42.32143135,-71.07804955,VANDALISM
42.34512135,-71.13840954,RESIDENTIAL BURGLARY
42.34553135,-71.08777955,VAL
42.35266635,-71.16315453,VAL
