lat,long,type
42.34924634,-71.06378456,FRAUD
42.32170135,-71.08190956,WEAPONS CHARGE
42.30972244,-71.10427304,DRUG CHARGES
42.35168135,-71.12518954,WEAPONS CHARGE
42.34130529,-71.0547108,DRUG CHARGES
42.29812136,-71.08109956,FRAUD
42.30875952,-71.07048212,DRUG CHARGES
42.32995779,-71.0536659,FRAUD
42.33215635,-71.05121456,FRAUD
42.33394861,-71.07537988,DRUG CHARGES
42.30972244,-71.10427304,DRUG CHARGES
42.36115668,-71.06254825,DRUG CHARGES
42.32921635,-71.09478955,DRUG CHARGES
0.0,0.0,WEAPONS CHARGE
42.33372337,-71.09095643,DRUG CHARGES
42.29558136,-71.09156955,DRUG CHARGES
42.25642136,-71.12394954,DRUG CHARGES
42.30837136,-71.10051955,DRUG CHARGES
42.31946135,-71.05675456,EMBEZELLMENT
42.29510635,-71.07822456,FRAUD
0.0,0.0,FRAUD
42.33192135,-71.08412955,FRAUD
42.29399634,-71.16958927,FRAUD
0.0,0.0,FRAUD
42.33181635,-71.06865456,DRUG CHARGES
42.32753635,-71.08322955,PRISON
42.3399307,-71.08097569,FRAUD
42.38355134,-71.01770458,FRAUD
42.32634635,-71.06646456,FRAUD
42.32159368,-71.07224047,FORGERY
42.32159368,-71.07224047,FORGERY
42.37374134,-71.03903957,FRAUD
42.37718134,-71.03390457,DEATH INVESTIGATION
42.32159368,-71.07224047,FORGERY
42.32159368,-71.07224047,FORGERY
42.32159368,-71.07224047,FORGERY
42.28846136,-71.11231955,DRUG CHARGES
42.28739788,-71.06193281,DRUG CHARGES
42.32159368,-71.07224047,FORGERY
42.33919135,-71.03654957,FRAUD
42.32159368,-71.07224047,FORGERY
42.31387556,-71.06380408,FRAUD
42.37537141,-71.03907875,DRUG CHARGES
42.36329784,-71.13445575,FRAUD
42.32604135,-71.08650955,DRUG CHARGES
42.32027635,-71.10965954,FRAUD
42.29576386,-71.15741095,FRAUD
42.29684981,-71.04895284,DRUG CHARGES
42.34071635,-71.05267456,FRAUD
42.3286598,-71.08561842,DRUG CHARGES
42.28501053,-71.04431332,FORGERY
42.29467136,-71.05013957,WEAPONS CHARGE
42.31037135,-71.06123456,DRUG CHARGES
42.34061048,-71.05553657,FRAUD
42.31385127,-71.0665341,FRAUD
42.32283635,-71.10382955,DRUG CHARGES
42.35499132,-71.12888958,FRAUD
42.27958636,-71.11893955,DRUG CHARGES
42.36359302,-71.06654717,FRAUD
42.32924135,-71.05516957,DRUG CHARGES
42.28413251,-71.06958228,WEAPONS CHARGE
42.36897634,-71.03941457,FORGERY
42.33950635,-71.06938956,DRUG CHARGES
42.34898135,-71.15091453,FRAUD
42.27463018,-71.11758138,FRAUD
42.36394634,-71.05943956,DRUG CHARGES
42.27622636,-71.13938954,DRUG CHARGES
42.34130135,-71.07654956,DRUG CHARGES
42.3286598,-71.08561842,DRUG CHARGES
42.29762984,-71.04940078,FORGERY
42.32939135,-71.08335956,DRUG CHARGES
42.31133136,-71.07022957,DRUG CHARGES
42.31709635,-71.07803456,FRAUD
42.35132134,-71.06481956,DEATH INVESTIGATION
42.36164815,-71.05998657,DRUG CHARGES
42.28306636,-71.13174454,FRAUD
42.34894635,-71.08488956,FRAUD
42.33323135,-71.10919955,WEAPONS CHARGE
42.31037135,-71.06123456,DRUG CHARGES
42.36164815,-71.05998657,DRUG CHARGES
42.3286598,-71.08561842,DRUG CHARGES
42.3286598,-71.08561842,DRUG CHARGES
42.32853954,-71.10857798,FRAUD
42.31195136,-71.06353957,DRUG CHARGES
0.0,0.0,DRUG CHARGES
42.33455599,-71.07818596,WEAPONS CHARGE
42.33950635,-71.06938956,DRUG CHARGES
42.30033686,-71.11698127,FRAUD
42.31135136,-71.08114956,DRUG CHARGES
42.34130529,-71.0547108,DRUG CHARGES
42.33177635,-71.04938456,DRUG CHARGES
42.27112137,-71.11810955,DRUG CHARGES
42.32013665,-71.07777631,DRUG CHARGES
42.33080135,-71.05447957,DRUG CHARGES
42.27785636,-71.13906953,DRUG CHARGES
42.35644135,-71.06197957,DRUG CHARGES
42.35237134,-71.06490456,DRUG CHARGES
42.33325635,-71.07289955,DRUG CHARGES
42.31400135,-71.08633955,DISORDERLY
42.31670135,-71.06210956,FRAUD
42.30015636,-71.06687456,DRUG CHARGES
42.30015636,-71.06687456,WEAPONS CHARGE
42.30908096,-71.05098805,FRAUD
42.3286598,-71.08561842,DRUG CHARGES
42.36164815,-71.05998657,DRUG CHARGES
42.33940635,-71.05366456,FRAUD
42.27432136,-71.08507955,FRAUD
42.33811135,-71.03757957,DRUG CHARGES
42.33880135,-71.05080957,DRUG CHARGES
42.37396134,-71.06533956,DRUG CHARGES
42.26215636,-71.15186454,FRAUD
42.31600134,-71.0983055,DRUG CHARGES
42.33238942,-71.08135015,DRUG CHARGES
42.31284636,-71.07842455,FRAUD
42.23329137,-71.13367454,DRUG CHARGES
42.23842137,-71.13279955,DRUG CHARGES
42.33193135,-71.03324957,FRAUD
42.35097164,-71.16382526,FRAUD
42.28051388,-71.08205305,DRUG CHARGES
42.29754136,-71.05973457,DRUG CHARGES
42.29916135,-71.06431456,FRAUD
42.36238135,-71.05848957,DRUG CHARGES
42.31459136,-71.06743957,DRUG CHARGES
42.31211072,-71.06886345,DRUG CHARGES
42.27330137,-71.09368956,DRUG CHARGES
42.28424009,-71.09660595,DEATH INVESTIGATION
42.34061048,-71.05553657,FRAUD
42.31981136,-71.08138956,DRUG CHARGES
42.32326135,-71.10891454,FORGERY
0.0,0.0,FRAUD
42.34126625,-71.16602131,FRAUD
42.33151135,-71.07083456,DRUG CHARGES
42.32947983,-71.11102032,EMBEZELLMENT
42.25752627,-71.14750833,FRAUD
42.23565637,-71.12859455,FRAUD
42.29476483,-71.08204862,FRAUD
42.31828136,-71.07783956,PROSTITUTION CHARGES
42.29759136,-71.07611956,DRUG CHARGES
42.33229135,-71.09676455,FRAUD
42.28714136,-71.14857453,DRUG CHARGES
42.33960135,-71.05532956,DRUG CHARGES
42.37363134,-71.05650456,FRAUD
42.34796134,-71.06252956,DEATH INVESTIGATION
42.28486136,-71.09132455,DRUG CHARGES
42.31131764,-71.13173283,FRAUD
42.28862136,-71.07557956,DISORDERLY
42.28077136,-71.07882456,FRAUD
42.29754136,-71.05973457,DRUG CHARGES
42.29754136,-71.05973457,DRUG CHARGES
42.37866634,-71.03088957,FRAUD
42.33325635,-71.07289955,DRUG CHARGES
42.28694636,-71.07210456,DRUG CHARGES
42.32233562,-71.07852551,TRESPASS
42.35014135,-71.14713954,DRUG CHARGES
42.25195136,-71.12531955,DISORDERLY
42.32802135,-71.09236955,DISORDERLY
42.29754027,-71.08180962,WEAPONS CHARGE
42.27729637,-71.09481454,WEAPONS CHARGE
42.31986599,-71.0797171,PROSTITUTION CHARGES
42.25383675,-71.13247951,FRAUD
42.33325635,-71.07289955,DRUG CHARGES
42.35302135,-71.13884953,FRAUD
42.30675215,-71.06028047,DISORDERLY
42.29754136,-71.05973457,DRUG CHARGES
42.28135128,-71.05677546,FRAUD
42.33279135,-71.09640955,WEAPONS CHARGE
42.38263134,-71.04027957,DRUG CHARGES
42.35006135,-71.07737956,DRUG CHARGES
42.32162135,-71.09200455,DRUG CHARGES
42.2468332,-71.12405003,DISORDERLY
42.31759245,-71.0400345,DISORDERLY
42.36293134,-71.05181456,FRAUD
42.36164815,-71.05998657,DRUG CHARGES
42.25849636,-71.16056453,DRUG CHARGES
42.34130529,-71.0547108,DRUG CHARGES
42.3462135,-71.07547022,FRAUD
42.33950635,-71.06938956,DRUG CHARGES
42.32598135,-71.05687957,DRUG CHARGES
42.31562136,-71.09846955,DISORDERLY
42.35010135,-71.05976957,DRUG CHARGES
42.33614135,-71.08162456,DRUG CHARGES
42.30052136,-71.06494457,DISORDERLY
42.3286598,-71.08561842,DRUG CHARGES
