lat,long,type
42.34743135,-71.06858956,OPERATING UNDER INFLUENCE
42.32444136,-71.05810456,OPERATING UNDER INFLUENCE
42.35003635,-71.10589955,OPERATING UNDER INFLUENCE
42.25964137,-71.15666954,OPERATING UNDER INFLUENCE
42.36805134,-71.03801957,OPERATING UNDER INFLUENCE
42.38378718,-71.00259354,OPERATING UNDER INFLUENCE
42.29531636,-71.07313956,OPERATING UNDER INFLUENCE
42.32867135,-71.08367956,OPERATING UNDER INFLUENCE
42.35262135,-71.05542957,OPERATING UNDER INFLUENCE
42.28647136,-71.12489954,OPERATING UNDER INFLUENCE
42.28085712,-71.15815817,OPERATING UNDER INFLUENCE
42.29488136,-71.08802956,OPERATING UNDER INFLUENCE
42.35302635,-71.13240954,OPERATING UNDER INFLUENCE
42.33816135,-71.15335953,OPERATING UNDER INFLUENCE
42.30018135,-71.07473439,OPERATING UNDER INFLUENCE
42.32777135,-71.07746956,OPERATING UNDER INFLUENCE
42.38263622,-71.02219067,OPERATING UNDER INFLUENCE
42.34881635,-71.09387955,OPERATING UNDER INFLUENCE
42.35129635,-71.08780955,OPERATING UNDER INFLUENCE
42.32300019,-71.08108899,OPERATING UNDER INFLUENCE
42.26253137,-71.15588954,OPERATING UNDER INFLUENCE
42.31246635,-71.05733456,OPERATING UNDER INFLUENCE
42.35212135,-71.12489954,OPERATING UNDER INFLUENCE
42.33813135,-71.03652957,OPERATING UNDER INFLUENCE
42.35163135,-71.15189953,OPERATING UNDER INFLUENCE
42.37331134,-71.03902957,OPERATING UNDER INFLUENCE
42.33179135,-71.09711955,OPERATING UNDER INFLUENCE
42.27589136,-71.11976955,OPERATING UNDER INFLUENCE
42.26681702,-71.09568347,OPERATING UNDER INFLUENCE
42.33150635,-71.03428457,OPERATING UNDER INFLUENCE
42.35541209,-71.1309325,OPERATING UNDER INFLUENCE
42.31212635,-71.08053456,OPERATING UNDER INFLUENCE
42.30036136,-71.08604956,OPERATING UNDER INFLUENCE
42.35777135,-71.12840954,OPERATING UNDER INFLUENCE
42.35279135,-71.06757957,OPERATING UNDER INFLUENCE
42.31688136,-71.07806956,OPERATING UNDER INFLUENCE
42.3014542,-71.07865694,OPERATING UNDER INFLUENCE
42.32174173,-71.11118815,OPERATING UNDER INFLUENCE
42.32293135,-71.05681456,OPERATING UNDER INFLUENCE
42.32291135,-71.07077957,OPERATING UNDER INFLUENCE
42.37590634,-71.05664456,OPERATING UNDER INFLUENCE
42.36398967,-71.03130975,OPERATING UNDER INFLUENCE
42.28449636,-71.13751454,OPERATING UNDER INFLUENCE
42.31754135,-71.06622957,OPERATING UNDER INFLUENCE
42.28516137,-71.12610955,OPERATING UNDER INFLUENCE
42.33140135,-71.09729955,OPERATING UNDER INFLUENCE
42.31706136,-71.08650956,OPERATING UNDER INFLUENCE
42.38792134,-71.00468457,OPERATING UNDER INFLUENCE
42.28792136,-71.14305954,OPERATING UNDER INFLUENCE
42.26580584,-71.09799494,OPERATING UNDER INFLUENCE
42.35000634,-71.06513456,OPERATING UNDER INFLUENCE
42.34516135,-71.06662957,OPERATING UNDER INFLUENCE
42.31771135,-71.07792956,OPERATING UNDER INFLUENCE
42.34986409,-71.14529739,OPERATING UNDER INFLUENCE
42.34058135,-71.08173956,OPERATING UNDER INFLUENCE
