lat,long,type
42.34456135,-71.13768454,TOWED
42.33637135,-71.04348957,TOWED
42.33166635,-71.10762954,OTHER LARCENY
42.29402635,-71.06054456,OTHER LARCENY
42.35086634,-71.06070956,OTHER LARCENY
42.2680897,-71.09909872,OTHER LARCENY
42.36746634,-71.07019955,OTHER LARCENY
42.36396134,-71.05597956,OTHER LARCENY
42.35535484,-71.06310606,OTHER LARCENY
42.37347634,-71.03988957,OTHER LARCENY
42.35346134,-71.06419956,OTHER LARCENY
42.39329401,-71.0086428,OTHER LARCENY
42.35776135,-71.13938953,TOWED
42.35914634,-71.05461456,OTHER LARCENY
42.30468635,-71.05908456,OTHER LARCENY
42.25059584,-71.12309745,OTHER LARCENY
42.35089635,-71.13198454,TOWED
42.34484635,-71.13939453,OTHER LARCENY
42.25711899,-71.11717937,OTHER LARCENY
42.33604989,-71.1078052,OTHER LARCENY
42.34422635,-71.10163955,OTHER LARCENY
42.32796312,-71.10522366,TOWED
42.35806287,-71.12934489,OTHER LARCENY
42.33825135,-71.02904957,TOWED
42.3325566,-71.11109868,TOWED
42.34016135,-71.08921455,OTHER
42.32283635,-71.10382955,OTHER LARCENY
42.29040636,-71.05115457,OTHER LARCENY
42.37468775,-71.03891217,OTHER LARCENY
42.35926134,-71.05417956,OTHER LARCENY
42.36913134,-71.03973957,OTHER LARCENY
42.35313135,-71.13851453,OTHER LARCENY
42.32543556,-71.06387302,OTHER LARCENY
42.35170634,-71.06118456,OTHER LARCENY
42.33399593,-71.07639912,OTHER LARCENY
42.36469134,-71.06261956,OTHER LARCENY
42.35634134,-71.06208456,OTHER LARCENY
42.37956634,-71.03879457,OTHER LARCENY
42.30548136,-71.10841955,OTHER LARCENY
42.35164135,-71.07485456,OTHER LARCENY
42.35057135,-71.07881456,OTHER LARCENY
42.33212635,-71.02840457,TOWED
42.34491393,-71.09641336,OTHER LARCENY
42.27648603,-71.09135119,OTHER LARCENY
42.32020071,-71.06091491,OTHER LARCENY
42.34846635,-71.08665456,OTHER LARCENY
42.36028259,-71.06362866,OTHER LARCENY
42.27306136,-71.08731956,TOWED
42.35647634,-71.05929456,OTHER LARCENY
42.32957067,-71.09357194,OTHER LARCENY
42.32454196,-71.08825956,OTHER LARCENY
42.35773634,-71.05462456,TOWED
42.35991634,-71.06638956,OTHER LARCENY
42.34449135,-71.06924455,OTHER LARCENY
42.35160304,-71.1190792,OTHER LARCENY
42.32902662,-71.08341206,OTHER LARCENY
42.3727862,-71.0390398,OTHER LARCENY
0.0,0.0,TOWED
42.3107804,-71.07130327,07RV
42.34134635,-71.08080456,TOWED
42.33807635,-71.03901457,OTHER LARCENY
42.31250635,-71.07928456,TOWED
42.34390634,-71.07427455,OTHER LARCENY
42.34329635,-71.0779174,TOWED
42.33325635,-71.07289955,OTHER LARCENY
42.2889387,-71.08544022,OTHER
42.34134755,-71.07535754,OTHER
42.27622636,-71.13938954,OTHER LARCENY
42.32540686,-71.0880266,OTHER LARCENY
42.32543556,-71.06387302,OTHER LARCENY
42.28846636,-71.08147456,OTHER LARCENY
42.30537135,-71.06322956,OTHER LARCENY
42.25560136,-71.12415455,OTHER LARCENY
42.34644135,-71.06981456,TOWED
42.34470431,-71.02941573,OTHER LARCENY
42.33547635,-71.04453957,OTHER LARCENY
42.34429134,-71.03432457,OTHER LARCENY
42.35540135,-71.06046957,OTHER LARCENY
42.34968634,-71.05768456,OTHER LARCENY
42.38335634,-71.07895956,OTHER LARCENY
42.35586683,-71.05996907,OTHER LARCENY
42.37169134,-71.03357457,OTHER LARCENY
42.35075635,-71.07485456,OTHER LARCENY
42.30782635,-71.11547454,OTHER LARCENY
42.32543556,-71.06387302,OTHER LARCENY
42.36115668,-71.06254825,OTHER LARCENY
42.33676635,-71.07665456,OTHER LARCENY
42.32997135,-71.08690455,TOWED
42.31894135,-71.07775956,OTHER
42.35035635,-71.07631956,OTHER LARCENY
42.31934635,-71.11176955,OTHER LARCENY
42.33258135,-71.10026955,OTHER LARCENY
42.36989634,-71.04229956,OTHER
0.0,0.0,TOWED
42.30251135,-71.05957457,OTHER
42.33132135,-71.04342457,TOWED
42.35140134,-71.06802956,OTHER LARCENY
42.32635286,-71.07888442,TOWED
42.31892135,-71.05481956,OTHER LARCENY
42.30573779,-71.10936824,OTHER LARCENY
42.33466635,-71.04029957,TOWED
42.32787135,-71.05306457,TOWED
42.34896635,-71.16176453,TOWED
42.32363135,-71.06016957,TOWED
42.28413251,-71.06958228,OTHER LARCENY
42.2835683,-71.09354788,OTHER LARCENY
42.28486136,-71.09132455,OTHER LARCENY
42.34021361,-71.1545263,TOWED
42.34421135,-71.09907955,OTHER LARCENY
42.31323635,-71.09968455,TOWED
42.34912475,-71.06648029,OTHER LARCENY
42.36638634,-71.05601456,OTHER LARCENY
42.28605636,-71.12954954,OTHER LARCENY
42.34884634,-71.07187956,OTHER LARCENY
42.34865634,-71.08256955,OTHER LARCENY
42.35947134,-71.12769954,TOWED
42.35428135,-71.12903454,OTHER LARCENY
42.3520305,-71.05669324,OTHER LARCENY
42.35300634,-71.05789456,OTHER LARCENY
42.27131132,-71.07442685,OTHER LARCENY
42.35182135,-71.12087954,OTHER
42.34302135,-71.06493956,OTHER LARCENY
42.28649136,-71.12877954,OTHER
42.34016135,-71.08921455,OTHER LARCENY
42.341015,-71.07023868,OTHER LARCENY
42.29784135,-71.06333956,TOWED
42.35182135,-71.12087954,OTHER
42.36593134,-71.05152956,TOWED
42.31212635,-71.08053456,OTHER LARCENY
42.28837819,-71.08614367,OTHER LARCENY
42.34700135,-71.07971956,OTHER LARCENY
42.32802635,-71.07652956,OTHER LARCENY
42.30718597,-71.06247956,OTHER LARCENY
42.33448135,-71.07950956,OTHER
42.36024634,-71.13261454,OTHER LARCENY
42.37950134,-71.03684957,OTHER LARCENY
42.34294135,-71.06695456,OTHER LARCENY
42.34978168,-71.13517077,OTHER LARCENY
42.33807635,-71.03901457,TOWED
0.0,0.0,TOWED
42.35345135,-71.13588453,OTHER LARCENY
42.34848135,-71.07414956,OTHER LARCENY
42.3098146,-71.08235064,OTHER LARCENY
42.36009134,-71.05581956,OTHER LARCENY
42.2619841,-71.10973973,OTHER LARCENY
42.36856634,-71.04122457,OTHER LARCENY
42.34865634,-71.08256955,OTHER LARCENY
42.33908135,-71.09893955,OTHER LARCENY
42.34231635,-71.07330956,OTHER
42.34865634,-71.08256955,OTHER LARCENY
42.35515135,-71.06203955,OTHER LARCENY
42.26712636,-71.11636955,OTHER LARCENY
42.26250356,-71.16697854,OTHER LARCENY
42.31692428,-71.08252908,OTHER LARCENY
42.34302135,-71.06493956,OTHER LARCENY
42.33843409,-71.0502471,07RV
42.35225135,-71.16035953,OTHER LARCENY
42.35114135,-71.07665956,OTHER LARCENY
42.34366135,-71.08800455,OTHER LARCENY
42.34638135,-71.08482955,OTHER LARCENY
42.33663135,-71.08515955,OTHER LARCENY
0.0,0.0,OTHER LARCENY
42.34824634,-71.08822955,OTHER LARCENY
42.28300244,-71.12688568,OTHER LARCENY
0.0,0.0,TOWED
42.35932135,-71.05348957,OTHER LARCENY
42.35950634,-71.05352956,OTHER LARCENY
42.33774635,-71.06905455,OTHER LARCENY
42.34350635,-71.06821456,OTHER
42.33449011,-71.03631921,TOWED
42.33950635,-71.06938956,OTHER
42.35692134,-71.05876956,OTHER LARCENY
42.34986409,-71.14529739,OTHER LARCENY
42.3403538,-71.15384822,TOWED
42.29334606,-71.06307192,OTHER LARCENY
42.33797635,-71.08005455,OTHER LARCENY
42.37095634,-71.03897457,OTHER LARCENY
42.35552926,-71.05849627,OTHER LARCENY
42.37835134,-71.06080456,OTHER LARCENY
42.36028135,-71.05730957,OTHER LARCENY
42.31062135,-71.10339955,OTHER LARCENY
