lat,long,type
42.31684135,-71.07458456,AGGRAVATED ASSAULT
42.34924634,-71.06378456,SIMPLE ASSAULT
42.33394861,-71.07537988,SIMPLE ASSAULT
42.33614915,-71.0467171,AGGRAVATED ASSAULT
42.28410417,-71.04613468,SIMPLE ASSAULT
42.37848634,-71.03342957,SIMPLE ASSAULT
42.37928715,-71.0579425,FIRE
42.29928135,-71.05918456,SIMPLE ASSAULT
42.31776637,-71.04205955,SIMPLE ASSAULT
42.31981136,-71.08138956,SIMPLE ASSAULT
42.30911635,-71.08283956,SIMPLE ASSAULT
42.34938895,-71.14242987,SIMPLE ASSAULT
42.33614915,-71.0467171,AGGRAVATED ASSAULT
42.32144135,-71.09680955,SIMPLE ASSAULT
42.32542135,-71.06966956,AGGRAVATED ASSAULT
42.32787135,-71.05306457,FIRE
42.2925326,-71.11971445,SIMPLE ASSAULT
42.32792506,-71.07770104,SIMPLE ASSAULT
42.3286598,-71.08561842,SIMPLE ASSAULT
42.35120135,-71.17311952,AGGRAVATED ASSAULT
42.28820136,-71.07680956,AGGRAVATED ASSAULT
42.28702136,-71.07707955,AGGRAVATED ASSAULT
42.37928715,-71.0579425,SIMPLE ASSAULT
42.29433636,-71.07544956,SIMPLE ASSAULT
42.36354634,-71.05453956,SIMPLE ASSAULT
42.36829134,-71.03476958,SIMPLE ASSAULT
42.30815635,-71.06966456,AGGRAVATED ASSAULT
42.31864846,-71.0816326,SIMPLE ASSAULT
42.33676635,-71.07665456,SIMPLE ASSAULT
42.34969134,-71.06520956,AGGRAVATED ASSAULT
42.34969134,-71.06520956,SIMPLE ASSAULT
42.28424136,-71.08112956,AGGRAVATED ASSAULT
42.38166634,-71.04034456,SIMPLE ASSAULT
42.39111661,-71.00230564,32GUN
42.35256135,-71.07977956,SIMPLE ASSAULT
42.35256135,-71.07977956,SIMPLE ASSAULT
42.30167443,-71.11110671,SIMPLE ASSAULT
42.33794635,-71.07750455,AGGRAVATED ASSAULT
42.37254134,-71.04017957,FIRE
42.30593136,-71.05759957,SIMPLE ASSAULT
42.26867137,-71.09379956,AGGRAVATED ASSAULT
42.32114205,-71.09089327,SIMPLE ASSAULT
42.30468635,-71.05908456,SIMPLE ASSAULT
42.31787135,-71.08912955,SIMPLE ASSAULT
42.34315135,-71.07312956,SIMPLE ASSAULT
42.32257748,-71.07284193,SIMPLE ASSAULT
42.31617349,-71.08920463,SIMPLE ASSAULT
42.33218135,-71.05346456,SIMPLE ASSAULT
42.37619134,-71.03980956,SIMPLE ASSAULT
42.33481135,-71.03741957,SIMPLE ASSAULT
42.28537261,-71.0835041,AGGRAVATED ASSAULT
42.33954135,-71.05201456,SIMPLE ASSAULT
42.31663333,-71.09171255,SIMPLE ASSAULT
42.32042135,-71.07776956,AGGRAVATED ASSAULT
42.36949634,-71.03745457,SIMPLE ASSAULT
42.32501543,-71.05924631,AGGRAVATED ASSAULT
42.32501543,-71.05924631,SIMPLE ASSAULT
42.37490134,-71.03870957,SIMPLE ASSAULT
42.33455599,-71.07818596,AGGRAVATED ASSAULT
42.36493634,-71.06222956,FIRE
42.33885635,-71.05449956,FIRE
42.29473195,-71.0850362,SIMPLE ASSAULT
42.31139811,-71.07965203,SIMPLE ASSAULT
42.34491393,-71.09641336,SIMPLE ASSAULT
42.28203636,-71.13233954,SIMPLE ASSAULT
42.37055134,-71.03993957,FIRE
42.31282136,-71.06476957,AGGRAVATED ASSAULT
42.38395134,-71.01662958,SIMPLE ASSAULT
42.32888135,-71.08506956,AGGRAVATED ASSAULT
42.32997135,-71.08690455,AGGRAVATED ASSAULT
42.32997135,-71.08690455,AGGRAVATED ASSAULT
42.32997135,-71.08690455,HOMICIDE
42.33315135,-71.05246456,AGGRAVATED ASSAULT
42.34231635,-71.07330956,SIMPLE ASSAULT
42.35705634,-71.05727456,SIMPLE ASSAULT
42.3286598,-71.08561842,SIMPLE ASSAULT
42.33371635,-71.08422455,32GUN
42.28717136,-71.12335954,SIMPLE ASSAULT
42.30089405,-71.07427992,AGGRAVATED ASSAULT
42.35938635,-71.13003454,FIRE
42.33323135,-71.10919955,SIMPLE ASSAULT
42.31576135,-71.08314456,SIMPLE ASSAULT
42.33503135,-71.08240455,SIMPLE ASSAULT
42.31885635,-71.09931955,AGGRAVATED ASSAULT
42.31679208,-71.07962644,SIMPLE ASSAULT
42.33710635,-71.04685957,AGGRAVATED ASSAULT
42.33503135,-71.08240455,SIMPLE ASSAULT
42.34085635,-71.08781455,SIMPLE ASSAULT
42.30542136,-71.08057956,AGGRAVATED ASSAULT
42.35073634,-71.04338956,SIMPLE ASSAULT
42.29857846,-71.06591619,SIMPLE ASSAULT
42.27265948,-71.12224949,SIMPLE ASSAULT
42.37639134,-71.05985956,AGGRAVATED ASSAULT
42.35895135,-71.05592957,AGGRAVATED ASSAULT
42.30977135,-71.08502956,SIMPLE ASSAULT
42.34244121,-71.1446372,FIRE
42.31634635,-71.05334956,SIMPLE ASSAULT
42.30751635,-71.06562956,AGGRAVATED ASSAULT
42.29383635,-71.06124956,SIMPLE ASSAULT
42.29490635,-71.05944456,SIMPLE ASSAULT
42.23380137,-71.13013455,FIRE
42.32286135,-71.10152955,SIMPLE ASSAULT
42.31318697,-71.06500696,SIMPLE ASSAULT
42.31737135,-71.07798456,AGGRAVATED ASSAULT
42.38674064,-71.00911415,AGGRAVATED ASSAULT
42.38223634,-71.01938958,SIMPLE ASSAULT
42.24444198,-71.11906936,SIMPLE ASSAULT
42.36413634,-71.05409956,SIMPLE ASSAULT
42.31248635,-71.07978955,SIMPLE ASSAULT
42.28294704,-71.08357992,AGGRAVATED ASSAULT
42.32311635,-71.10665954,SIMPLE ASSAULT
